case_reference_id,court_level,case_type,number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,label_entity_role,label_bail_or_custody_relief,label_conviction_outcome
NCRB-SYNTH-101697,High Court,Sec 482 CrPC (Quashing),1,1,1,0,1,1,0,1,0,0,0.8379,1,49,0,1,0.059,7,1.1707,42.66,31762.59,0.085,1,0,1,1,0,2,0,1,1,0,1,1,1,0,0,1,0.0735,0.106,2,0,1
NCRB-SYNTH-101698,Trial Court,Sec 482 CrPC (Quashing),1,4,2,1,1,1,0,1,0,1,0.6394,0,142,1,1,0.0767,6,1.0,144.82,10188.1,0.1012,0,0,0,1,0,4,0,1,1,0,1,1,0,1,1,2,0.0364,0.0332,2,0,0
NCRB-SYNTH-101706,Trial Court,Trial Judgment,1,5,2,0,1,0,1,1,0,0,0.6386,1,132,1,1,0.1213,7,1.0184,125.02,16462.62,0.0442,1,0,1,1,0,3,0,1,1,0,1,0,1,0,1,4,0.0586,0.0364,0,1,0
NCRB-SYNTH-101711,Trial Court,Writ Petition (Detention),2,2,2,0,1,1,0,1,1,0,0.4198,1,40,0,0,0.0719,9,1.0772,130.0,43742.24,0.0646,1,0,1,1,1,3,0,1,1,0,1,0,1,0,1,3,0.0323,0.0233,2,0,0
NCRB-SYNTH-101712,Trial Court,Sec 439 CrPC (Regular Bail),1,3,1,0,1,1,0,1,0,0,0.6235,1,142,0,0,0.1149,2,1.0964,160.21,11619.43,0.024,1,0,1,1,1,4,1,1,1,0,1,0,1,0,0,3,0.0436,0.0314,2,1,0
NCRB-SYNTH-101715,Trial Court,Sec 482 CrPC (Quashing),1,4,1,0,1,0,0,1,0,0,0.5647,1,138,1,1,0.1199,6,1.0,119.77,35271.93,0.0845,1,1,1,1,0,2,1,0,0,1,1,0,0,0,0,3,0.0648,0.0467,2,1,0
NCRB-SYNTH-101717,Trial Court,Sec 439 CrPC (Regular Bail),4,1,2,0,1,1,1,1,0,1,0.5996,1,45,0,0,0.0136,2,1.2473,118.94,39599.8,0.1686,1,1,0,1,1,2,0,0,0,1,0,0,1,0,0,1,0.0698,0.1008,2,1,0
NCRB-SYNTH-101721,Trial Court,Trial Judgment,1,5,2,0,1,0,0,1,0,1,0.8922,1,130,0,0,0.1443,2,1.3547,94.63,16961.46,0.1881,1,1,1,1,1,3,0,0,0,1,1,1,1,0,0,3,0.0808,0.0583,2,1,0
NCRB-SYNTH-101722,Trial Court,Sec 482 CrPC (Quashing),1,4,2,1,1,0,0,1,0,0,0.6189,1,67,0,0,0.0568,2,1.0736,158.5,44985.18,0.1166,1,0,1,1,1,2,0,0,0,1,1,1,0,0,0,2,0.0228,0.0208,2,1,0
NCRB-SYNTH-101724,Trial Court,Sec 482 CrPC (Quashing),2,1,1,0,1,1,0,1,0,1,0.4772,1,107,1,1,0.0633,5,1.3592,160.95,3433.29,0.0967,1,1,1,1,0,3,0,0,0,1,1,0,1,0,0,1,0.0632,0.0911,2,1,0
NCRB-SYNTH-101726,High Court,Sec 439 CrPC (Regular Bail),1,4,2,0,1,1,0,1,0,0,0.669,0,137,0,0,0.1157,1,1.1336,115.87,37036.32,0.0659,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0.018,0.026,2,1,0
NCRB-SYNTH-101735,Trial Court,Sec 439 CrPC (Regular Bail),2,5,1,0,1,1,0,1,0,1,0.6572,1,154,0,0,0.0774,3,1.1329,101.85,30770.69,0.0643,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,4,0.0725,0.045,2,1,0
NCRB-SYNTH-101738,Trial Court,Sec 439 CrPC (Regular Bail),1,2,2,0,1,0,0,1,0,0,0.9109,1,169,1,1,0.1147,9,1.2543,174.27,11589.93,0.0347,1,0,1,1,1,2,0,1,1,0,1,0,1,1,0,3,0.0913,0.0659,2,0,1
NCRB-SYNTH-101744,High Court,Sec 439 CrPC (Regular Bail),4,4,2,0,1,0,1,1,1,0,0.5791,0,151,0,0,0.0993,2,1.1231,166.54,43765.3,0.1866,0,1,1,0,1,3,1,0,0,1,1,1,0,0,0,4,0.0117,0.0073,2,1,0
NCRB-SYNTH-101747,Trial Court,Writ Petition (Detention),2,4,2,0,1,1,0,1,0,1,0.5757,1,94,0,0,0.1045,8,1.1243,89.04,31508.01,0.1332,1,1,1,1,0,3,1,0,0,1,1,0,0,0,0,1,0.077,0.1111,2,1,0
NCRB-SYNTH-101750,Trial Court,Sec 439 CrPC (Regular Bail),4,4,2,0,1,1,0,1,0,1,0.4939,1,147,0,0,0.0639,6,1.0,167.65,36630.73,0.06,1,1,0,1,0,3,0,0,0,1,1,1,1,0,0,3,0.0838,0.0605,2,1,0
NCRB-SYNTH-101753,Trial Court,Writ Petition (Detention),1,5,1,0,1,1,0,1,0,1,0.7008,1,102,0,1,0.0646,5,1.0364,80.32,5735.61,0.1515,1,0,1,1,1,2,1,1,1,0,1,1,0,1,1,3,0.0318,0.023,2,1,1
NCRB-SYNTH-101759,Trial Court,Trial Judgment,1,3,1,0,1,0,1,1,0,1,0.759,0,143,1,1,0.0528,2,1.0308,76.44,7352.02,0.0613,1,1,1,1,1,2,1,0,0,1,1,1,0,0,0,1,0.0548,0.0791,2,1,0
NCRB-SYNTH-101763,Trial Court,Sec 482 CrPC (Quashing),7,4,2,0,1,0,0,1,0,0,0.4446,1,72,0,0,0.094,3,1.1522,107.96,8940.88,0.0989,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,2,0.0859,0.0782,0,1,0
NCRB-SYNTH-101765,Trial Court,Sec 439 CrPC (Regular Bail),4,4,2,0,1,0,0,1,0,1,0.583,1,121,0,0,0.0151,7,1.0192,99.4,30540.4,0.0161,0,1,1,1,1,3,0,0,0,1,0,1,0,1,0,3,0.0549,0.0396,2,1,0
NCRB-SYNTH-101781,High Court,Sec 482 CrPC (Quashing),1,3,1,0,1,1,1,1,0,0,0.4871,1,163,0,0,0.0243,6,1.0799,94.65,38327.38,0.1432,0,1,1,1,1,2,0,0,0,1,0,0,0,1,0,4,0.0621,0.0386,2,1,0
NCRB-SYNTH-101789,Trial Court,Sec 482 CrPC (Quashing),15,3,1,0,1,0,1,1,0,1,0.8267,1,25,1,1,0.0755,7,1.0,33.43,40863.41,0.0497,1,1,0,0,0,3,1,0,0,1,0,1,0,0,0,4,0.0521,0.0323,0,1,0
NCRB-SYNTH-101791,Trial Court,Sec 482 CrPC (Quashing),2,4,2,0,1,0,0,1,0,1,0.7848,1,37,1,1,0.0834,5,1.0945,153.42,37136.37,0.0667,1,0,1,1,1,3,1,1,1,0,1,0,1,1,0,2,0.0683,0.0622,2,0,1
NCRB-SYNTH-101795,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,0,0.8442,1,173,1,1,0.1004,3,1.1386,76.95,40341.27,0.1818,1,1,1,1,0,5,1,0,0,1,1,1,0,0,0,3,0.0403,0.0291,0,1,0
NCRB-SYNTH-101796,Trial Court,Sec 439 CrPC (Regular Bail),2,2,2,0,1,1,0,1,0,1,0.4195,1,165,0,1,0.0458,8,1.1943,50.65,31697.0,0.1556,1,1,0,0,1,3,0,0,0,1,1,0,1,0,1,4,0.0481,0.0299,0,1,0
NCRB-SYNTH-101798,Trial Court,Trial Judgment,4,1,2,0,1,1,1,1,0,0,0.6762,1,107,0,0,0.0719,4,1.0,117.71,13565.03,0.0244,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0.0251,0.0228,2,1,1
NCRB-SYNTH-101799,Trial Court,Sec 482 CrPC (Quashing),7,3,2,0,1,1,0,1,0,0,0.4498,1,116,0,0,0.1122,3,1.1271,76.16,14550.36,0.1739,1,1,1,1,0,2,0,0,0,1,1,0,0,0,0,4,0.0446,0.0277,2,1,0
NCRB-SYNTH-101800,High Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,0,0,1,0,0,0.7784,1,27,1,1,0.1193,4,1.0,110.87,18227.48,0.1896,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0.0467,0.0674,0,1,1
NCRB-SYNTH-101808,Trial Court,Sec 439 CrPC (Regular Bail),1,3,1,0,1,1,1,1,0,0,0.7161,1,103,1,1,0.0523,4,1.188,101.89,17622.21,0.0751,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,2,0.0533,0.0486,2,1,0
NCRB-SYNTH-101809,Trial Court,Writ Petition (Detention),1,5,1,0,1,0,0,1,0,0,0.4144,1,74,0,1,0.0,8,1.1893,57.39,14768.23,0.1724,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,3,0.0333,0.024,0,1,0
NCRB-SYNTH-101810,Trial Court,Sec 482 CrPC (Quashing),1,2,2,1,1,0,0,1,0,0,0.6709,1,168,0,0,0.0601,1,1.052,38.42,25109.19,0.1174,1,1,1,1,1,4,0,0,0,1,0,0,0,0,0,2,0.0317,0.0289,2,1,0
NCRB-SYNTH-101814,Trial Court,Sec 482 CrPC (Quashing),27,1,2,0,1,0,1,1,0,0,0.728,1,55,0,1,0.104,9,1.1677,76.66,24210.51,0.0731,1,1,1,1,0,3,1,0,0,1,1,1,1,0,0,2,0.0853,0.0777,2,1,0
NCRB-SYNTH-101815,High Court,Sec 482 CrPC (Quashing),1,2,1,0,1,0,1,1,0,0,0.5157,1,52,0,0,0.0628,2,1.3089,145.86,8950.91,0.0971,1,1,1,1,0,3,0,0,0,1,1,0,0,0,1,2,0.021,0.0191,2,1,0
NCRB-SYNTH-101822,Trial Court,Sec 482 CrPC (Quashing),2,5,1,0,1,0,0,1,1,0,0.6495,1,157,0,1,0.0368,8,1.0878,45.13,11502.03,0.047,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,3,0.0549,0.0396,2,0,0
NCRB-SYNTH-101827,Trial Court,Sec 439 CrPC (Regular Bail),4,2,1,0,1,0,1,1,0,0,0.7046,0,141,0,0,0.1005,1,1.0972,32.08,14082.24,0.1899,0,1,1,0,1,3,0,0,0,1,0,1,0,0,1,1,0.064,0.0924,2,1,0
NCRB-SYNTH-101837,Trial Court,Writ Petition (Detention),2,2,2,1,1,0,1,1,0,1,0.7008,1,153,0,0,0.0285,8,1.0,143.97,16549.56,0.1749,1,1,1,1,0,3,0,0,0,1,0,1,1,0,0,3,0.057,0.0411,2,1,0
NCRB-SYNTH-101847,High Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,1,0,1,0,0,0.5158,0,127,0,0,0.0788,6,1.191,46.91,17278.78,0.0325,0,1,0,1,1,2,0,0,0,1,1,0,1,0,0,1,0.0303,0.0437,2,1,0
NCRB-SYNTH-101848,High Court,Trial Judgment,1,4,1,0,1,1,0,1,0,0,0.5332,0,108,0,0,0.1019,6,1.0918,144.61,22766.52,0.0853,1,1,0,1,0,3,1,0,0,1,1,0,1,0,1,1,0.032,0.0462,2,1,0
NCRB-SYNTH-101863,Trial Court,Sec 439 CrPC (Regular Bail),1,3,2,0,1,0,0,1,0,0,0.7682,1,147,1,1,0.1029,3,1.0405,71.63,9761.34,0.1259,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,2,0.0192,0.0175,2,1,0
NCRB-SYNTH-101867,High Court,Sec 439 CrPC (Regular Bail),15,5,2,0,1,0,0,1,0,0,0.5673,1,22,0,1,0.0374,4,1.0,35.99,26782.99,0.133,1,1,1,1,1,3,1,0,0,1,1,1,0,0,0,2,0.0556,0.0506,2,1,0
NCRB-SYNTH-101868,Trial Court,Writ Petition (Detention),4,3,1,0,1,0,0,1,0,0,0.4273,1,27,1,0,0.013,1,1.0904,46.58,38807.45,0.1715,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,2,0.037,0.0337,2,1,0
NCRB-SYNTH-101869,Trial Court,Trial Judgment,7,3,2,0,1,0,1,1,0,0,0.5432,1,153,0,0,0.105,4,1.1811,78.68,18746.13,0.0373,0,1,1,1,1,4,0,0,0,1,1,0,1,0,0,3,0.0322,0.0232,2,1,0
NCRB-SYNTH-101885,High Court,Sec 482 CrPC (Quashing),7,2,1,0,1,0,0,1,0,0,0.9842,1,166,0,0,0.0678,1,1.1601,126.27,21876.72,0.1149,1,0,0,1,0,3,1,0,0,1,1,1,0,0,1,4,0.0466,0.029,2,1,0
NCRB-SYNTH-101887,High Court,Sec 439 CrPC (Regular Bail),1,5,1,0,1,0,0,1,0,0,0.8135,0,108,0,0,0.0725,7,1.0245,77.97,44214.12,0.0496,1,1,1,0,1,2,1,0,0,1,1,0,0,0,0,2,0.0566,0.0515,2,1,0
NCRB-SYNTH-101891,Trial Court,Trial Judgment,1,1,2,0,1,0,1,1,0,0,0.5399,1,162,1,1,0.0516,8,1.1002,139.62,30306.66,0.0987,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,2,0.07,0.0638,2,1,0
NCRB-SYNTH-101898,Trial Court,Sec 439 CrPC (Regular Bail),4,3,2,0,1,0,1,1,0,0,0.849,0,86,1,1,0.0858,9,1.0,128.21,32413.51,0.0496,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,4,0.0455,0.0283,2,1,0
NCRB-SYNTH-101902,High Court,Sec 439 CrPC (Regular Bail),2,5,1,0,1,0,1,1,0,1,0.9128,1,43,0,0,0.0498,8,1.0576,145.68,7937.87,0.0176,1,1,1,0,1,2,1,0,0,1,0,0,0,0,0,4,0.0111,0.0069,2,1,0
NCRB-SYNTH-101904,Trial Court,Sec 482 CrPC (Quashing),15,3,2,0,1,1,0,1,1,1,0.634,0,72,0,0,0.1401,4,1.2444,115.58,10589.21,0.0109,1,1,1,1,0,3,1,0,0,1,1,0,1,1,0,2,0.0823,0.0749,2,1,0
NCRB-SYNTH-101910,High Court,Writ Petition (Detention),2,4,1,0,1,0,1,1,0,0,0.7769,1,155,0,0,0.0413,9,1.0799,120.05,43143.63,0.0559,1,1,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0.0974,0.1406,2,1,0
NCRB-SYNTH-101922,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,0,0.791,1,72,1,1,0.0851,2,1.0,126.76,23547.35,0.0652,1,1,1,1,0,4,0,0,0,1,0,0,0,0,0,4,0.0454,0.0282,2,1,0
NCRB-SYNTH-101926,High Court,Writ Petition (Detention),1,3,1,0,1,0,0,1,0,0,0.4915,1,11,0,0,0.0631,2,1.0,48.15,34342.97,0.0288,0,1,1,1,1,3,1,0,0,1,1,0,1,0,0,2,0.0147,0.0134,2,1,0
NCRB-SYNTH-101930,High Court,Sec 439 CrPC (Regular Bail),1,5,2,0,1,0,0,1,0,0,0.4518,1,122,1,1,0.0352,6,1.2674,90.74,32730.22,0.1265,1,1,1,1,1,2,0,0,0,1,0,0,1,0,0,4,0.0973,0.0605,2,1,0
NCRB-SYNTH-101940,Trial Court,Writ Petition (Detention),2,2,1,0,1,1,1,1,0,0,0.4154,1,133,0,0,0.0,6,1.0959,141.52,16495.41,0.0382,1,0,1,1,0,2,0,1,1,0,0,0,1,1,0,4,0.0988,0.0614,2,1,0
NCRB-SYNTH-101941,High Court,Trial Judgment,4,3,1,0,1,1,0,1,0,1,0.493,1,99,1,0,0.111,6,1.1093,109.24,40174.65,0.1555,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,4,0.0935,0.0581,2,1,0
NCRB-SYNTH-101948,Trial Court,Writ Petition (Detention),1,2,1,0,1,0,1,1,0,1,0.4516,1,73,1,1,0.0517,5,1.3206,107.73,40216.12,0.1969,1,1,1,1,1,2,1,0,0,1,1,0,1,0,0,1,0.0384,0.0554,0,1,0
NCRB-SYNTH-101951,Trial Court,Sec 439 CrPC (Regular Bail),1,3,1,0,1,0,0,1,0,1,0.6674,1,60,1,0,0.0617,5,1.1879,168.78,33720.27,0.0335,1,1,1,1,0,4,0,0,0,1,1,1,1,0,0,1,0.0779,0.1124,2,1,0
NCRB-SYNTH-101961,Trial Court,Sec 439 CrPC (Regular Bail),2,1,2,0,1,0,0,1,0,0,0.7539,1,127,1,0,0.0557,7,1.2681,91.97,14730.52,0.1542,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,3,0.095,0.0686,2,1,0
NCRB-SYNTH-101967,Trial Court,Sec 482 CrPC (Quashing),4,3,1,0,1,0,1,1,0,0,0.3715,1,111,0,0,0.0612,2,1.0494,66.07,29377.14,0.1022,0,1,1,1,1,3,1,0,0,1,0,1,0,0,1,2,0.0937,0.0853,0,1,0
NCRB-SYNTH-101970,Trial Court,Sec 482 CrPC (Quashing),4,2,1,0,1,0,0,1,0,1,0.8126,1,63,0,0,0.0203,1,1.197,142.7,38512.85,0.1751,1,1,1,1,1,2,1,0,0,1,1,0,1,0,1,3,0.0162,0.0117,2,1,0
NCRB-SYNTH-101971,High Court,Sec 482 CrPC (Quashing),1,2,2,0,1,0,1,1,0,1,0.6656,1,31,1,0,0.1643,1,1.0,179.5,5654.95,0.0268,1,1,1,1,1,5,0,0,0,1,1,1,1,0,0,4,0.0694,0.0431,2,1,0
NCRB-SYNTH-101981,Trial Court,Sec 482 CrPC (Quashing),4,4,2,0,1,0,1,1,0,0,0.6158,1,81,0,1,0.1262,5,1.2012,128.11,35719.08,0.1848,1,0,1,1,1,3,1,1,1,0,1,0,1,0,0,1,0.0997,0.1439,0,0,0
NCRB-SYNTH-101985,Trial Court,Sec 482 CrPC (Quashing),1,5,2,0,1,0,0,1,0,1,0.8332,0,62,0,0,0.055,2,1.0,176.75,30643.84,0.0458,1,1,1,1,0,2,1,0,0,1,1,1,1,0,0,4,0.0889,0.0552,2,1,0
NCRB-SYNTH-101986,High Court,Sec 482 CrPC (Quashing),27,5,2,0,1,0,0,1,0,0,0.9196,1,71,0,1,0.03,3,1.1232,134.31,28680.43,0.1011,1,1,1,1,1,5,0,0,0,1,1,0,0,0,0,4,0.0459,0.0285,2,1,0
NCRB-SYNTH-101992,Trial Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,1,1,1,0,1,0.9364,1,98,1,1,0.118,1,1.173,130.14,37237.9,0.091,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,3,0.0819,0.0591,2,1,0
NCRB-SYNTH-101994,Trial Court,Writ Petition (Detention),7,3,1,0,1,1,1,1,0,1,0.7825,1,143,0,0,0.1238,2,1.1331,176.06,31275.14,0.153,1,1,0,1,1,2,1,0,0,1,1,1,1,1,0,1,0.0261,0.0376,2,1,0
NCRB-SYNTH-101998,Trial Court,Trial Judgment,4,4,1,0,1,0,0,1,0,1,0.5793,1,53,0,0,0.039,8,1.2453,126.29,32457.52,0.1502,0,0,1,1,1,4,0,0,0,1,1,1,0,0,0,1,0.0199,0.0288,2,1,0
NCRB-SYNTH-101999,Trial Court,Sec 439 CrPC (Regular Bail),1,2,1,0,1,0,0,1,0,0,0.8269,1,22,0,0,0.0,8,1.1592,93.41,5638.29,0.1789,1,1,1,1,1,3,0,0,0,1,1,0,0,0,0,4,0.0779,0.0484,2,1,0
NCRB-SYNTH-102009,Trial Court,Writ Petition (Detention),1,3,1,0,1,1,0,1,0,0,0.3867,1,177,0,0,0.0945,4,1.0074,155.56,23147.67,0.0373,1,1,0,1,1,2,0,0,0,1,1,0,1,0,0,4,0.0824,0.0512,2,1,0
NCRB-SYNTH-102011,High Court,Sec 482 CrPC (Quashing),1,1,2,0,1,0,1,1,0,0,0.654,1,113,1,1,0.0553,7,1.0659,71.44,25452.98,0.0683,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,3,0.0319,0.023,0,1,0
NCRB-SYNTH-102012,Trial Court,Trial Judgment,1,4,2,0,1,0,1,1,0,1,0.7878,1,28,0,1,0.1934,5,1.2628,96.77,15940.47,0.028,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,4,0.0564,0.035,2,0,1
NCRB-SYNTH-102014,High Court,Writ Petition (Detention),1,2,2,0,1,1,1,1,0,0,0.8063,1,174,0,0,0.1288,5,1.2093,118.86,33858.24,0.0708,1,1,1,1,0,3,0,0,0,1,0,0,0,1,0,1,0.0983,0.1419,2,1,0
NCRB-SYNTH-102019,Trial Court,Sec 439 CrPC (Regular Bail),15,1,2,0,1,1,0,1,0,1,0.7739,1,103,0,0,0.1481,5,1.2065,147.72,10579.08,0.0498,1,1,1,1,0,3,0,0,0,1,1,1,1,0,1,4,0.0458,0.0285,2,1,0
NCRB-SYNTH-102024,Trial Court,Sec 439 CrPC (Regular Bail),4,4,1,0,1,0,1,1,0,0,0.8616,0,166,1,1,0.0062,6,1.0709,62.61,12711.35,0.1541,1,0,1,1,1,3,0,1,1,0,1,1,1,0,1,2,0.0247,0.0225,2,1,1
NCRB-SYNTH-102031,Trial Court,Writ Petition (Detention),7,1,1,0,1,1,0,1,0,0,0.416,0,106,1,1,0.0588,4,1.2259,36.28,39812.46,0.1479,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,3,0.0811,0.0585,2,1,0
NCRB-SYNTH-102037,Trial Court,Sec 439 CrPC (Regular Bail),2,3,2,0,1,0,0,1,0,0,0.8491,1,91,1,1,0.081,3,1.2968,178.96,41758.61,0.0075,0,1,1,1,1,2,1,0,0,1,1,0,0,0,1,2,0.0811,0.0738,2,1,0
NCRB-SYNTH-102038,Trial Court,Sec 482 CrPC (Quashing),2,5,1,0,1,0,0,1,0,0,0.4925,1,87,1,1,0.13,7,1.0217,79.47,41471.89,0.016,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,3,0.0319,0.023,2,1,0
NCRB-SYNTH-102044,Trial Court,Sec 482 CrPC (Quashing),1,4,1,0,1,0,1,1,0,0,0.4504,0,158,0,0,0.1105,5,1.2544,89.09,9900.3,0.0917,1,1,0,1,1,4,1,0,0,1,0,0,0,1,0,3,0.0612,0.0441,2,1,0
NCRB-SYNTH-102047,Trial Court,Sec 439 CrPC (Regular Bail),7,5,2,0,1,1,1,1,0,1,0.6785,1,135,0,0,0.0184,6,1.0,159.63,13130.44,0.0864,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,2,0.0808,0.0735,0,1,0
NCRB-SYNTH-102050,Trial Court,Sec 439 CrPC (Regular Bail),2,1,2,0,1,0,0,1,0,1,0.6,1,77,0,0,0.0501,3,1.1722,147.34,17912.2,0.0928,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,1,0.0695,0.1003,2,1,0
NCRB-SYNTH-102053,Trial Court,Trial Judgment,1,5,1,0,1,0,0,1,0,0,0.9376,1,84,0,0,0.0405,7,1.2441,92.7,39040.2,0.1546,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,3,0.0928,0.0669,0,0,1
NCRB-SYNTH-102061,Trial Court,Sec 439 CrPC (Regular Bail),2,4,1,0,1,0,1,1,0,0,0.7983,1,72,0,0,0.2007,3,1.0,169.26,13581.23,0.1954,1,0,1,0,0,2,0,1,1,0,1,1,0,0,0,2,0.0905,0.0823,2,1,1
NCRB-SYNTH-102065,Trial Court,Sec 439 CrPC (Regular Bail),1,4,1,0,1,1,0,1,0,0,0.6062,1,82,0,0,0.1239,4,1.2374,101.03,40329.76,0.0021,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0.0831,0.1199,2,1,0
NCRB-SYNTH-102069,Trial Court,Sec 439 CrPC (Regular Bail),15,1,1,0,1,0,1,1,0,1,0.8463,0,178,0,0,0.1205,8,1.1112,116.03,24831.92,0.1196,1,1,0,1,0,2,0,0,0,1,1,0,0,1,0,2,0.0404,0.0368,2,1,0
NCRB-SYNTH-102081,Trial Court,Writ Petition (Detention),1,3,2,0,1,0,0,1,0,1,0.8299,1,100,0,0,0.0649,5,1.0881,153.31,8579.03,0.0238,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,4,0.0653,0.0406,2,1,0
NCRB-SYNTH-102082,Trial Court,Sec 439 CrPC (Regular Bail),1,1,2,0,1,0,0,1,0,0,0.48,1,108,0,0,0.154,4,1.0544,93.56,28189.45,0.1251,1,1,0,1,1,2,0,0,0,1,1,1,0,1,0,1,0.0111,0.0161,2,1,0
NCRB-SYNTH-102087,Trial Court,Sec 439 CrPC (Regular Bail),2,4,2,0,1,1,0,1,0,0,0.8429,0,33,1,1,0.0529,9,1.2966,140.33,22645.34,0.0854,1,0,1,1,0,3,0,1,1,0,1,0,1,0,0,2,0.0293,0.0267,2,1,1
NCRB-SYNTH-102103,Trial Court,Writ Petition (Detention),4,2,2,0,1,0,0,1,0,0,0.6778,1,46,0,0,0.0607,6,1.1569,116.5,27046.16,0.1458,1,0,0,1,0,2,0,0,0,1,1,0,1,0,0,2,0.0406,0.037,2,1,0
NCRB-SYNTH-102111,High Court,Sec 439 CrPC (Regular Bail),2,4,2,0,1,0,0,1,0,1,0.873,1,135,0,0,0.0781,7,1.0103,164.55,29149.04,0.0021,1,1,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0.0291,0.042,0,1,0
NCRB-SYNTH-102113,Trial Court,Writ Petition (Detention),1,4,1,0,1,0,0,1,0,1,0.7628,1,153,0,0,0.0948,3,1.3292,74.21,16715.37,0.0882,1,0,1,1,1,4,0,0,0,1,0,1,1,0,1,4,0.0258,0.016,2,1,0
NCRB-SYNTH-102116,Trial Court,Sec 439 CrPC (Regular Bail),4,4,1,0,1,0,0,1,0,0,0.7601,1,96,0,0,0.0191,8,1.2435,130.94,18591.77,0.0695,1,1,1,1,1,3,0,0,0,1,1,0,1,0,0,4,0.0842,0.0523,2,1,0
NCRB-SYNTH-102119,High Court,Sec 439 CrPC (Regular Bail),2,3,2,0,1,0,0,1,0,1,0.6092,1,81,0,0,0.1089,8,1.0651,178.99,38258.27,0.1831,1,1,1,1,0,4,1,0,0,1,0,0,0,0,0,3,0.0616,0.0444,2,1,0
NCRB-SYNTH-102128,Trial Court,Trial Judgment,1,4,1,0,1,0,0,1,0,1,0.8683,1,28,0,0,0.0377,9,1.0098,99.42,33661.79,0.1441,1,0,1,1,1,2,0,1,1,0,1,0,0,0,0,1,0.0985,0.1421,2,0,1
NCRB-SYNTH-102131,Trial Court,Writ Petition (Detention),1,2,2,0,1,0,0,1,0,0,0.714,1,56,1,1,0.092,6,1.1997,140.62,29001.2,0.1106,1,0,1,0,1,2,0,1,1,0,1,0,1,0,0,2,0.0267,0.0243,2,1,1
NCRB-SYNTH-102132,Trial Court,Sec 439 CrPC (Regular Bail),1,3,2,1,1,0,0,1,0,1,0.7744,1,105,1,1,0.0625,7,1.1514,35.94,28749.11,0.1004,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,4,0.0952,0.0591,2,0,1
NCRB-SYNTH-102137,Trial Court,Writ Petition (Detention),1,2,1,0,1,0,0,1,1,0,0.5847,1,36,0,1,0.1493,4,1.1333,120.3,29928.02,0.0175,1,0,1,1,0,7,0,1,1,0,1,0,0,1,0,2,0.0238,0.0216,2,1,0
NCRB-SYNTH-102139,High Court,Sec 439 CrPC (Regular Bail),1,5,1,0,1,0,0,1,0,1,0.4289,1,158,0,0,0.1067,6,1.0614,163.62,4791.95,0.1413,0,1,1,1,0,2,1,0,0,1,1,0,1,0,0,1,0.0192,0.0277,2,1,0
